supportSize,innerstep,lrMeta,lrinner,seed,result
2.0,2.0,0.001,0.0001,42.0,81.0936
5.0,2.0,0.001,0.0001,42.0,66.2532
2.0,2.0,0.001,0.0001,667.0,63.6817
5.0,2.0,0.001,0.0001,667.0,50.1666
2.0,2.0,0.001,0.0001,128.0,58.9165
5.0,2.0,0.001,0.0001,128.0,64.2763
