supportSize,innerstep,lrMeta,lrinner,seed,result
2.0,2.0,0.001,0.0001,42.0,39.5666
5.0,2.0,0.001,0.0001,42.0,42.05
2.0,2.0,0.001,0.0001,667.0,148.6339
5.0,2.0,0.001,0.0001,667.0,49.4157
2.0,2.0,0.001,0.0001,128.0,43.9818
5.0,2.0,0.001,0.0001,128.0,53.7636
